Status ==> [500], Response Time ==> [25.359 ms], Date & Time ==> [Fri, 19 May 2023 17:36:30 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [200], Response Time ==> [33.157 ms], Date & Time ==> [Fri, 19 May 2023 17:36:49 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [500], Response Time ==> [8.261 ms], Date & Time ==> [Fri, 19 May 2023 17:39:03 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [500], Response Time ==> [8.033 ms], Date & Time ==> [Fri, 19 May 2023 17:40:08 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [500], Response Time ==> [1.975 ms], Date & Time ==> [Fri, 19 May 2023 17:40:10 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [200], Response Time ==> [33.151 ms], Date & Time ==> [Fri, 19 May 2023 17:42:14 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [200], Response Time ==> [37.680 ms], Date & Time ==> [Fri, 19 May 2023 17:43:16 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [200], Response Time ==> [10.877 ms], Date & Time ==> [Fri, 19 May 2023 17:43:37 GMT], Method ==> [GET], Url ==> [/class/teacher/2] 
Status ==> [200], Response Time ==> [2.767 ms], Date & Time ==> [Fri, 19 May 2023 17:43:46 GMT], Method ==> [GET], Url ==> [/class/teacher/3] 
Status ==> [200], Response Time ==> [18.887 ms], Date & Time ==> [Fri, 19 May 2023 17:44:28 GMT], Method ==> [GET], Url ==> [/class/teacher/3] 
Status ==> [200], Response Time ==> [8.199 ms], Date & Time ==> [Fri, 19 May 2023 17:44:33 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [200], Response Time ==> [7.067 ms], Date & Time ==> [Fri, 19 May 2023 17:44:59 GMT], Method ==> [GET], Url ==> [/class/teacher/3] 
Status ==> [500], Response Time ==> [29.172 ms], Date & Time ==> [Fri, 19 May 2023 17:45:23 GMT], Method ==> [GET], Url ==> [/class/teacher/3] 
Status ==> [500], Response Time ==> [21.085 ms], Date & Time ==> [Fri, 19 May 2023 17:46:15 GMT], Method ==> [GET], Url ==> [/class/teacher/3] 
Status ==> [200], Response Time ==> [19.868 ms], Date & Time ==> [Fri, 19 May 2023 17:46:19 GMT], Method ==> [GET], Url ==> [/class/teacher/1] 
Status ==> [500], Response Time ==> [17.683 ms], Date & Time ==> [Fri, 19 May 2023 17:51:13 GMT], Method ==> [GET], Url ==> [/class/child/4] 
Status ==> [500], Response Time ==> [16.775 ms], Date & Time ==> [Fri, 19 May 2023 17:51:56 GMT], Method ==> [GET], Url ==> [/class/child/4] 
Status ==> [200], Response Time ==> [33.421 ms], Date & Time ==> [Fri, 19 May 2023 17:52:12 GMT], Method ==> [GET], Url ==> [/class/child/4] 
